"Pressure [atm]", "Temperature [K]", "Fluid", "Quantity", "Normalized value",
1.0,                         1130.0,  "_air",       "mu",             2.6020,
1.0,                         1140.0,  "_air",       "mu",             2.6160,
1.0,                         1150.0,  "_air",       "mu",             2.6290,
1.0,                         1170.0,  "_air",       "mu",             2.6420,
1.0,                         1180.0,  "_air",       "mu",             2.6690,
1.0,                         1190.0,  "_air",       "mu",             2.6830,
1.0,                         1200.0,  "_air",       "mu",             2.6960,
1.0,                         1210.0,  "_air",       "mu",             2.7090,
1.0,                         1220.0,  "_air",       "mu",             2.7220,
1.0,                         1230.0,  "_air",       "mu",             2.7350,
1.0,                         1240.0,  "_air",       "mu",             2.7470,
1.0,                         1250.0,  "_air",       "mu",             2.7600,
1.0,                         1260.0,  "_air",       "mu",             2.7730,
1.0,                         1270.0,  "_air",       "mu",             2.7860,
1.0,                         1280.0,  "_air",       "mu",             2.7990,
1.0,                         1290.0,  "_air",       "mu",             2.8120,
1.0,                         1300.0,  "_air",       "mu",             2.8240,
1.0,                         1310.0,  "_air",       "mu",             2.8370,
1.0,                         1320.0,  "_air",       "mu",             2.8490,
1.0,                         1330.0,  "_air",       "mu",             2.8620,
1.0,                         1340.0,  "_air",       "mu",             2.8740,
1.0,                         1350.0,  "_air",       "mu",             2.8860,
1.0,                         1360.0,  "_air",       "mu",             2.8980,
1.0,                         1370.0,  "_air",       "mu",             2.9110,
1.0,                         1380.0,  "_air",       "mu",             2.9230,
1.0,                         1390.0,  "_air",       "mu",             2.9350,
1.0,                         1400.0,  "_air",       "mu",             2.9470,
1.0,                         1410.0,  "_air",       "mu",             2.9600,
1.0,                         1420.0,  "_air",       "mu",             2.9720,
1.0,                         1430.0,  "_air",       "mu",             2.9840,
1.0,                         1440.0,  "_air",       "mu",             2.9950,
1.0,                         1450.0,  "_air",       "mu",             3.0070,
1.0,                         1460.0,  "_air",       "mu",             3.0190,
1.0,                         1470.0,  "_air",       "mu",             3.0310,
1.0,                         1480.0,  "_air",       "mu",             3.0420,
1.0,                         1490.0,  "_air",       "mu",             3.0540,
1.0,                         1500.0,  "_air",       "mu",             3.0660,
1.0,                         1600.0,  "_air",       "mu",             3.1800,
1.0,                         1700.0,  "_air",       "mu",             3.2900,
1.0,                         1800.0,  "_air",       "mu",             3.3970,
1.0,                         1900.0,  "_air",       "mu",             3.5010,
